name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2020-07-10T00:00:00,19.2,19.2,13.7,70.42,0,,,,,14.1,3.5,236,1015.2,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T01:00:00,18.3,18.3,13.6,74.17,0,,,,,10,3,270,1015.6,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T02:00:00,17.7,17.7,13.7,77.39,0,,,,,15.7,5.6,65,1015.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T03:00:00,16.9,16.9,13.3,79.25,0,,,,,13.6,5.4,344,1015.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T04:00:00,16.4,16.4,13,80.12,0,,,,,11.7,4.7,314,1015,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T05:00:00,15.9,15.9,12.4,79.55,0,,,,,15.7,5.6,284,1015,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T06:00:00,15.9,15.9,12.4,80,0,,,,,11.8,3.4,259,1015,0,,11,0,0,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T07:00:00,16.5,16.5,13.4,82.03,0,,,,,11.2,3.5,301,1015,0,,55,0.2,1,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T08:00:00,18.8,18.8,15.8,82.61,0,,,,,16.5,4.2,343,1014.5,9.4,70,212,0.8,2,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T09:00:00,20.7,20.7,16.1,74.67,0,,,,,13.2,5.6,210,1014.2,0,,383,1.4,4,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2020-07-10T10:00:00,22.9,22.9,15.7,63.67,0,,,,,21.9,12.1,233,1013.8,0,,546,2,5,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
