name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2010-04-23T00:00:00,10.6,10.6,1,51.56,0,0,,,,27.4,12.3,67,1010,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T01:00:00,9.9,8.9,1.6,56.48,0,0,,,,25.8,7.7,79,1010.2,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T02:00:00,9,8.3,1.7,60.54,0,0,,,,31.3,6.2,64,1010.5,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T03:00:00,9.1,8.2,2,61.13,0,0,,,,13.1,7.4,336,1010.3,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T04:00:00,9.1,7.8,2.2,62.16,0,0,,,,15,8.5,119,1010.3,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T05:00:00,8.7,7.6,2.5,65.11,0,0,,,,,7.5,359,1010.7,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T06:00:00,8.3,7,2.3,65.51,0,0,,,,13.9,8.5,24,1010.6,0,,4.2,0,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T07:00:00,8,7,2.1,66.41,0,0,,,,13.1,6.5,23,1011.1,0,,81.6,0.3,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T08:00:00,8.5,7.9,2.3,64.71,0,0,,,,28,5.5,17,1011.6,8,10,209.6,0.8,2,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T09:00:00,9.7,8.4,2.2,59.68,0,0,,,,16.9,9.7,34,1011.4,0,,361.8,1.3,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T10:00:00,10.8,10.8,2.8,57.59,0,0,,,,,10.4,5,1011.1,0,,496,1.8,5,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T11:00:00,12.2,12.2,3,53.28,0,0,,,,21.1,10.2,10,1010.7,0,,590,2.1,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T12:00:00,13.3,13.3,3.8,52.61,0,0,,,,21.3,10.6,13,1010.4,0,,642.8,2.3,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T13:00:00,14.1,14.1,4.3,51.74,0,0,,,,21.1,10.4,51,1009.9,0,,671,2.4,7,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T14:00:00,14.7,14.7,4.9,51.59,0,0,,,,22.9,11.8,44,1009.6,8.9,10,685.5,2.5,7,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T15:00:00,15.1,15.1,5.6,52.98,0,0,,,,23.7,13.6,55,1009.7,0,,588,2.1,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T16:00:00,14.9,14.9,5,51.6,0,0,,,,23.8,14.5,56,1009.7,0,,411.4,1.5,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T17:00:00,15,15,4.8,50.52,0,0,,,,24.6,14,60,1009.7,0,,270.8,1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T18:00:00,14.9,14.9,4.5,49.62,0,0,,,,24.4,14.5,80,1009.9,0,,182.3,0.7,2,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T19:00:00,14.7,14.7,3.9,48.22,0,0,,,,25.4,12.7,58,1010.4,0,,83.5,0.3,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T20:00:00,13.7,13.7,3.2,49,0,0,,,,25.4,10.9,47,1011.3,7.1,8,6.8,0,0,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T21:00:00,12.5,12.5,2.7,51.05,0,0,,,,20,10.7,37,1012.3,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T22:00:00,11.7,11.7,2.7,54.02,0,0,,,,19.9,10.3,57,1013.1,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-23T23:00:00,10.9,10.9,2.5,56.08,0,0,,,,27.5,7.7,67,1013.7,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T00:00:00,9.6,8.5,2.6,61.61,0,0,,,,17.7,8.3,177,1014.1,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T01:00:00,10.2,10.2,1.4,54.51,0,0,,,,17.7,8.7,92,1014.1,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T02:00:00,8.9,8.1,2.4,63.86,0,0,,,,27.9,6.4,356,1014.8,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T03:00:00,8.6,8.2,2,62.98,0,0,,,,11.2,4.9,133,1015,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T04:00:00,8.1,7.5,1.8,64.58,0,0,,,,8.8,5.1,234,1015.7,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T05:00:00,7.3,6.3,2.6,71.95,0,0,,,,,6.6,188,1016.3,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T06:00:00,6.7,5.8,1.6,70.01,0,0,,,,9.2,5.6,11,1016.7,0,,5.4,0,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T07:00:00,6.7,5.7,1.7,70.21,0,0,,,,10.4,6,72,1017.2,0,,107.9,0.4,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T08:00:00,7.9,7.2,3.9,75.81,0,0,,,,21.6,5.6,117,1017.6,0.9,12,284.6,1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T09:00:00,9.4,8.9,3.9,68.74,0,0,,,,9.3,5.8,129,1017.8,0,,469.4,1.7,5,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T10:00:00,11.4,11.4,4.3,61.82,0,0,,,,14.1,7.1,145,1017.3,0,,633,2.3,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T11:00:00,13.7,13.7,4.2,52.47,0,0,,,,,7.1,137,1016.8,0,,763,2.7,8,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T12:00:00,14.5,14.5,3.3,46.92,0,0,,,,18.4,7.9,145,1016.6,0,,845,3,8,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T13:00:00,16.1,16.1,4,44.36,0,0,,,,19.1,5.8,49,1015.9,0,,874.3,3.1,9,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T14:00:00,17.2,17.2,4.2,42.12,0,0,,,,20.5,6.2,305,1015.4,0,,847.3,3.1,8,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T15:00:00,18,18,4.2,40.14,0,0,,,,19.2,6.4,146,1015.1,0,,767.8,2.8,8,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T16:00:00,18.3,18.3,4.1,38.9,0,0,,,,17,7.6,132,1014.8,0,,641.5,2.3,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T17:00:00,18.8,18.8,4.5,38.9,0,0,,,,20.2,6.7,137,1014.5,0,,478.9,1.7,5,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T18:00:00,18.6,18.6,4.4,39.19,0,0,,,,17,7.9,104,1014.6,0,,293.3,1.1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-04-24T19:00:00,18.4,18.4,4.8,40.7,0,0,,,,22.3,10.1,76,1014.9,0,,121.3,0.4,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
