name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2010-06-03T00:00:00,10.4,10.4,8.2,85.96,0,0,,,,19.4,10.4,51,1017.6,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T01:00:00,10.5,10.5,8.1,85.14,0,0,,,,17.3,9.6,11,1016.9,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T02:00:00,10.5,10.5,8.1,85.16,0,0,,,,38.1,12.4,32,1016.7,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T03:00:00,10.4,10.4,8.1,85.55,0,0,,,,18.4,8.9,42,1016.5,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T04:00:00,10.5,10.5,8.2,85.84,0,0,,,,22.6,12.1,55,1016.2,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T05:00:00,10.7,10.7,8.2,84.59,0,0,,,,26.3,11.8,50,1016.3,0,,0.5,0,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T06:00:00,10.6,10.6,8.5,86.93,0,0,,,,22.6,9.5,63,1016.3,0,,41,0.1,0,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T07:00:00,10.7,10.7,8.6,86.93,0,0,,,,21.6,11.7,63,1016.3,0,,146.4,0.5,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T08:00:00,11.3,11.3,8.9,85.56,0,0,,,,28.2,12.6,55,1016,8,4,242.5,0.9,2,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T09:00:00,11.3,11.3,8.9,85.09,0,0,,,,27.6,14.7,47,1016.3,0,,327.4,1.2,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T10:00:00,11.3,11.3,9.6,89.21,0,0,,,,29.6,13.2,66,1016,0,,377,1.4,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T11:00:00,11.3,11.3,9.5,89.19,0.14,100,rain,,,31.5,14.1,55,1016.8,0,,361.3,1.3,4,,Rain,rain,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T12:00:00,11.9,11.9,9.1,83.13,0,0,,,,37.4,17.5,63,1017.1,0,,385.9,1.4,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T13:00:00,13.1,13.1,9,76.03,0,0,,,,40.5,20.8,68,1016.3,0,,308.8,1.1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T14:00:00,14.5,14.5,9.1,70.18,0,0,,,,43.4,19.5,71,1015.3,8,8,314.4,1.1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T15:00:00,14.1,14.1,9,71.37,0,0,,,,38.9,22,64,1015.2,0,,433.8,1.6,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T16:00:00,14.8,14.8,9.3,69.82,0,0,,,,,23.1,61,1015.3,0,,564.3,2,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T17:00:00,14.6,14.6,9.4,71.04,0,0,,,,46,23.8,51,1015.3,0,,443.3,1.6,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T18:00:00,14.2,14.2,9.4,72.62,0,0,,,,46.1,23.5,55,1015.5,0,,285.9,1,3,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T19:00:00,13,13,9.3,78.27,0,0,,,,50,27.5,71,1016.1,0,,163.5,0.6,2,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T20:00:00,12.6,12.6,9.5,81.2,0,0,,,,53.3,28.7,66,1016.2,0,,58.4,0.2,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T21:00:00,11.9,11.9,8.9,81.62,0,0,,,,53.3,26.8,74,1016.7,0,,1.9,0,0,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T22:00:00,11.8,11.8,9.2,84.08,0,0,,,,51.6,19.7,70,1017.2,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-03T23:00:00,11.4,11.4,9.2,86.16,0,0,,,,55.3,17.6,75,1017.4,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T00:00:00,11.2,11.2,9.3,88.1,0,0,,,,44.9,15.5,73,1017.4,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T01:00:00,11,11,9.1,88.03,0,0,,,,36.9,18.3,65,1017.6,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T02:00:00,11.2,11.2,9.2,87.17,0,0,,,,55.5,16.8,66,1017.5,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T03:00:00,11.1,11.1,9.1,87.5,0,0,,,,30.5,18.2,69,1017.5,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T04:00:00,11,11,8.9,87.23,0,0,,,,,18.2,62,1017.4,0,,0,,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T05:00:00,11.3,11.3,8.6,83.41,0,0,,,,,17.3,53,1017.3,0,,0.7,0,0,,Clear,clear-night,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T06:00:00,11.3,11.3,8.8,84.36,0,0,,,,37,23.3,60,1017.4,0,,42.3,0.2,0,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T07:00:00,11.3,11.3,9.4,87.98,0,0,,,,37,17.9,98,1018.2,0,,135.6,0.5,1,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T08:00:00,12,12,9.4,84.64,0,0,,,,52.1,22,86,1018.5,0,,390.9,1.4,4,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T09:00:00,12.8,12.8,9.5,80.27,0,0,,,,39.5,21.3,91,1018.5,0,,556.8,2,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T10:00:00,14.1,14.1,9.7,74.62,0,0,,,,40.5,21.8,85,1018.3,0,,722.8,2.6,7,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T11:00:00,15.7,15.7,10.6,71.97,0,0,,,,40.5,19,90,1018.3,0,,840.8,3,8,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T12:00:00,17.1,17.1,10.9,66.77,0,0,,,,37.8,17.6,84,1017.9,0,,917,3.3,9,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T13:00:00,18,18,11.2,64.29,0,0,,,,36.9,16.6,77,1017.5,0,,943,3.4,9,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T14:00:00,18.9,18.9,11.8,63.34,0,0,,,,42,13.6,90,1017,2.7,30,911.5,3.3,9,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T15:00:00,20.5,20.5,12.5,59.97,0,0,,,,34.2,12.8,89,1016.3,0,,850.3,3.1,9,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T16:00:00,20.5,20.5,12.2,58.94,0,0,,,,,9.3,74,1016.3,0,,721.3,2.6,7,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
Gampelen,2010-06-04T17:00:00,21.5,21.5,12.4,56.33,0,0,,,,37.9,11.5,55,1016,0,,574.8,2.1,6,,Clear,clear-day,"06605099999,06604099999,06612099999,06636099999"
