name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2015-06-22T00:00:00,13.9,13.9,12.9,93.62,0,0,,,,18.8,7,27,1018.6,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T01:00:00,13.1,13.1,12.3,95.16,0,0,,,,14,4.6,308,1018.8,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T02:00:00,12.9,12.9,11.9,93.52,0,0,,,,30.7,5.1,17,1018.6,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T03:00:00,12.6,12.6,11.9,95.31,0,0,,,,10.5,4.8,323,1018.1,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T04:00:00,12.1,12.1,11.6,96.54,0.01,100,rain,,,6.1,3.4,333,1018,0,,0,,0,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T05:00:00,11.3,11.3,10.8,96.64,0,0,,,,11.3,3.7,312,1017.7,0,,2.6,0,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T06:00:00,11.2,11.2,10.9,97.88,0,0,,,,11.7,5.8,230,1017.6,0,,74.7,0.3,1,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T07:00:00,11.8,11.8,11.3,96.97,0,0,,,,10.3,5.2,280,1017.3,0,,133.8,0.5,1,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T08:00:00,13.6,13.6,13,95.89,0.01,100,rain,,,11.4,4.8,43,1016.7,15.1,40,262.8,0.9,3,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T09:00:00,15.2,15.2,13.3,87.96,0,0,,,,13.4,6.6,154,1016.1,0,,390.5,1.4,4,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T10:00:00,17.3,17.3,13,75.75,0,0,,,,29.8,15.1,234,1015.5,0,,707.8,2.5,7,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T11:00:00,19.1,19.1,13.2,68.44,0,0,,,,34.5,15,232,1014.5,0,,792.5,2.9,8,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T12:00:00,20.1,20.1,12.4,61.38,0,0,,,,35.2,16.3,238,1013.7,0,,819.3,2.9,8,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T13:00:00,20.3,20.3,11.5,56.66,0,0,,,,35.7,16.9,230,1013,0,,777.3,2.8,8,,Clear,clear-day,"06606099999,06605099999,06608099999,06612099999,06636099999"
Gampelen,2015-06-22T14:00:00,21.6,21.6,10.9,50.61,0,0,,,,37.9,20.5,233,1012.3,0,,651.3,2.3,7,,Clear,clear-day,"06606099999,06605099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T15:00:00,20.6,20.6,9.9,50.16,0,0,,,,35.9,17.3,230,1011.6,0,,540.3,1.9,5,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999"
Gampelen,2015-06-22T16:00:00,20.8,20.8,10.9,53.04,0,0,,,,31.1,16.7,232,1011.1,0,,443.1,1.6,4,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T17:00:00,21,21,10.9,52.33,0,0,,,,36.9,13.4,236,1010.2,0,,322.5,1.2,3,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T18:00:00,20.1,20.1,10.8,55.01,0,0,,,,37.1,17,234,1009.6,0,,202.1,0.7,2,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T19:00:00,20.3,20.3,12.3,60.14,0,0,,,,33.2,17,239,1008.9,0,,109.6,0.4,1,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T20:00:00,19.9,19.9,11.6,58.61,0,0,,,,39.8,19.2,240,1008.1,17,40,38.3,0.1,0,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T21:00:00,18.5,18.5,12,65.62,0.39,100,rain,,,46.4,19.5,255,1007.5,0,,1.9,0,0,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T22:00:00,17.3,17.3,12.3,72.38,0.74,100,rain,,,35.9,18.9,266,1007.4,0,,0,,0,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-06-22T23:00:00,14.8,14.8,11.8,82.13,2.12,100,rain,,,68.2,30,315,1009.4,0,,0,,0,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
