name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2017-01-16T00:00:00,-8.5,-8.5,-9.6,92.23,0,,,,,7.5,4.6,20,1025.6,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T01:00:00,-7.9,-7.9,-9.1,90.65,0,,,,,12.4,2,22,1025.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T02:00:00,-6.9,-6.9,-8,91.35,0,,,,,8.9,3.5,31,1024.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T03:00:00,-6.9,-6.9,-7.8,92.95,0,,,,,10.1,3,130,1024.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T04:00:00,-6.2,-9.5,-6.9,94.81,0,,,,,12.2,6.7,91,1024,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T05:00:00,-6.5,-9.1,-7.5,92.65,0,,,,,12,5.2,144,1023.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T06:00:00,-6.6,-9.7,-7.4,93.85,0,,,,,11.4,6.3,159,1023.9,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T07:00:00,-7,-10.9,-7.8,93.89,0,,,,24.47,12.6,7.9,42,1024.1,15.1,20,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T08:00:00,-7.3,-11.2,-8.5,90.57,0,,,,,13.1,8,57,1024.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T09:00:00,-7.5,-11.5,-8.5,92.36,0,,,,,15.5,8.1,39,1025,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T10:00:00,-5.7,-10.7,-6.8,91.87,0,,,,,19.4,12,88,1025.1,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T11:00:00,-5,-9,-6.5,88.98,0,,,,,16.9,9.3,91,1025,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T12:00:00,-4.3,-8,-6.6,84.17,0,,,,,22.4,8.6,128,1024.4,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T13:00:00,-3.5,-8,-6.2,81.54,0,,,,,23,11.9,98,1023.9,18.9,15,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T14:00:00,-2.5,-8.2,-7.2,69.72,0,,,,,32.8,19.3,74,1023.1,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T15:00:00,-3.2,-9,-9.3,63,0,,,,,35.2,18.2,42,1023.7,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T16:00:00,-3.4,-9.6,-9,64.86,0,,,,,35.9,20.6,57,1024.1,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T17:00:00,-3.7,-9.2,-9,66.59,0,,,,,35.4,16.4,30,1024.3,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T18:00:00,-3.6,-9.6,-8.8,67.58,0.01,,,,,31.7,18.9,33,1024.4,0,,,,,,Snow,snow,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T19:00:00,-4.2,-11,-10.1,63.16,0,,,,,39.5,23.1,30,1024.5,18.9,15,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T20:00:00,-4.5,-11.2,-10.3,63.83,0,,,,,39.5,21.6,29,1025,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T21:00:00,-4.6,-11.3,-10.8,62.14,0.01,,,,,39.8,21.2,36,1025.6,0,,,,,,Snow,snow,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T22:00:00,-5,-11.1,-10.2,66.87,0,,,,,40.2,17.6,50,1026.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-16T23:00:00,-4.9,-11,-10.4,65.56,0,,,,,32.4,18,46,1026.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T00:00:00,-5,-11.8,-10,67.73,0,,,,,42.4,22,60,1026.4,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T01:00:00,-5.3,-12,-10.2,68.81,0,,,,,48.8,20,45,1026.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T02:00:00,-5.3,-12.5,-10.2,68.44,0,,,,,41.1,24,43,1026.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T03:00:00,-4.8,-11.8,-9,72.35,0,,,,,46.1,23.2,58,1026.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T04:00:00,-5,-11.8,-9.8,68.97,0,,,,,49.4,21.8,47,1026.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T05:00:00,-5.1,-11.7,-9.3,72.02,0,,,,,43.8,20.4,53,1026.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T06:00:00,-4.8,-12.2,-8.9,72.96,0,,,,,52.4,26.1,62,1026.8,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T07:00:00,-4.6,-12.8,-9.5,68.77,7.71,,,,31,61.7,32.3,57,1026.9,18.9,15,,,,,Snow,snow,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T08:00:00,-4.7,-13,-9.2,70.87,0,,,,,67.7,33.3,58,1027.3,0,,,,,,Clear,wind,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T09:00:00,-4.6,-12.2,-9.3,69.77,0,,,,,54.8,27.4,51,1027.8,0,,,,,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T10:00:00,-4.2,-12.4,-8.6,71.48,0,,,,,66.6,34,71,1027.8,0,,,,,,Clear,wind,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T11:00:00,-4.5,-12.6,-8.1,75.69,0,,,,,55,32.4,73,1028.4,0,,,,,,Clear,wind,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T12:00:00,-4.1,-12.5,-8.6,70.61,0,,,,,65.4,36.7,72,1028,0,,,,,,Clear,wind,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2017-01-17T13:00:00,-3.8,-11.5,-8.3,70.62,0,,,,,69.9,30.7,72,1027.8,18.9,15,,,,,Clear,wind,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
