name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2015-09-12T00:00:00,13.7,13.7,12,89.61,0,0,,,,11.7,3.3,73,1017.5,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T01:00:00,13.6,13.6,11.7,88.7,0,0,,,,8.1,5.4,45,1017.6,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T02:00:00,12.9,12.9,11.5,91.71,0,0,,,,22,3.7,165,1017.8,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T03:00:00,12.8,12.8,11.6,92.3,0,0,,,,11.1,5.1,272,1017.6,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T04:00:00,12.1,12.1,11.2,94.26,0,0,,,,13.2,3.6,198,1017.9,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T05:00:00,11.4,11.4,10.7,95.78,0,0,,,,13.6,3.9,279,1018.1,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T06:00:00,11,11,10.3,95.31,0,0,,,,10.7,5.3,284,1018.3,0,,0,,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T07:00:00,10.4,10.4,9.9,96.56,0,0,,,,10.8,5,277,1018.7,0,,32.1,0.1,0,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T08:00:00,11.3,11.3,10.2,92.94,0,0,,,,12.3,6.3,278,1018.7,1.9,70,182.4,0.7,2,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T09:00:00,13.3,13.3,12.1,92.57,0,0,,,,11.7,4.1,308,1018,0,,359.5,1.3,4,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2015-09-12T10:00:00,15.7,15.7,12.5,81.26,0,0,,,,13.9,6.7,27,1017.5,0,,521.8,1.9,5,,Clear,clear-day,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
