date,energy
2021-05-22,160217.0
2021-05-23,87712.0
2021-05-24,137227.0
2021-05-25,97658.0
2021-05-26,108051.0
2021-05-27,165608.0
2021-05-28,156901.0
2021-05-29,167890.0
2021-05-30,161413.0
2021-05-31,159201.0
2021-06-01,110089.0
2021-06-02,120610.0
2021-06-03,112590.0
2021-06-04,70378.0
2021-06-05,143028.0
2021-06-06,125102.0
2021-06-07,85097.0
2021-06-08,106292.0
2021-06-09,148306.0
2021-06-10,155805.0
2021-06-11,143702.0
2021-06-12,160488.0
2021-06-13,162400.0
2021-06-14,149514.0
2021-06-15,152688.0
2021-06-16,143208.0
2021-06-17,121399.0
2021-06-18,125901.0
2021-06-19,70358.0
2021-06-20,122420.0
2021-06-21,131597.0
2021-06-22,114601.0
2021-06-23,95915.0
2021-06-24,83209.0
2021-06-25,153599.0
2021-06-26,120496.0
2021-06-27,99080.0
2021-06-28,72292.0
2021-06-29,69927.0
2021-06-30,88883.0
2021-07-01,138410.0
2021-07-02,76308.0
2021-07-03,55908.0
2021-07-04,80389.0
2021-07-05,28384.0
2021-07-06,122615.0
2021-07-07,62604.0
2021-07-08,133702.0
2021-07-09,138795.0
2021-07-10,130507.0
2021-07-11,97085.0
2021-07-12,49044.0
2021-07-13,74147.0
2021-07-14,32013.0
2021-07-15,100102.0
2021-07-16,137911.0
2021-07-17,149899.0
2021-07-18,150603.0
2021-07-19,147099.0
2021-07-20,140598.0
2021-07-21,135599.0
2021-07-22,131901.0
2021-07-23,45757.0
2021-07-24,94624.0
2021-07-25,84204.0
2021-07-26,106014.0
2021-07-27,86700.0
2021-07-28,138598.0
2021-07-29,94190.0
2021-07-30,82994.0
2021-07-31,34314.0
2021-08-01,123488.0
2021-08-02,50102.0
2021-08-03,33910.0
2021-08-04,99306.0
2021-08-05,124498.0
2021-08-06,24894.0
2021-08-07,122208.0
2021-08-08,89196.0
2021-08-09,131504.0
2021-08-10,127900.0
2021-08-11,124100.0
2021-08-12,113898.0
2021-08-13,115902.0
2021-08-14,94302.0
2021-08-15,103788.0
2021-08-16,118406.0
2021-08-17,109404.0
2021-08-18,110100.0
2021-08-19,117498.0
2021-08-20,117802.0
2021-08-21,73802.0
2021-08-22,91798.0
2021-08-23,120698.0
2021-08-24,62500.0
2021-08-25,122098.0
2021-08-26,103202.0
2021-08-27,94204.0
2021-08-28,69098.0
2021-08-29,118300.0
2021-08-30,111500.0
2021-08-31,117102.0
2021-09-01,113500.0
2021-09-02,99394.0
2021-09-03,108502.0
2021-09-04,97402.0
2021-09-05,105400.0
2021-09-06,97696.0
2021-09-07,102604.0
2021-09-08,33496.0
2021-09-09,45300.0
2021-09-10,88402.0
2021-09-11,94502.0
2021-09-12,98896.0
2021-09-13,68706.0
2021-09-14,35292.0
2021-09-15,55904.0
2021-09-16,88202.0
2021-09-17,96198.0
2021-09-18,21762.0
2021-09-19,40142.0
2021-09-20,95700.0
2021-09-21,94082.0
2021-09-22,83016.0
2021-09-23,73700.0
2021-09-24,73496.0
2021-09-25,51200.0
2021-09-26,68898.0
2021-09-27,73404.0
2021-09-28,70304.0
2021-09-29,84496.0
2021-09-30,78000.0
2021-10-01,75700.0
2021-10-02,28486.0
2021-10-03,18312.0
2021-10-04,37886.0
2021-10-05,55408.0
2021-10-06,65012.0
2021-10-07,38792.0
2021-10-08,46506.0
2021-10-09,60400.0
2021-10-10,71600.0
2021-10-11,53002.0
2021-10-12,66496.0
2021-10-13,70700.0
2021-10-14,57094.0
2021-10-15,66502.0
2021-10-16,42700.0
2021-10-17,47798.0
2021-10-18,48500.0
2021-10-19,32202.0
2021-10-20,60906.0
2021-10-21,47600.0
2021-10-22,63200.0
2021-10-23,56502.0
2021-10-24,53396.0
2021-10-25,38898.0
2021-10-26,29104.0
2021-10-27,30998.0
2021-10-28,41100.0
2021-10-29,12076.0
2021-10-30,35624.0
2021-10-31,22604.0
2021-11-01,34900.0
2021-11-02,5790.0
2021-11-03,25708.0
2021-11-04,34696.0
2021-11-05,47604.0
2021-11-06,37698.0
2021-11-07,26788.0
2021-11-08,33012.0
2021-11-09,26196.0
2021-11-10,23200.0
2021-11-11,15200.0
2021-11-12,16102.0
2021-11-13,35998.0
2021-11-14,7878.0
2021-11-15,6820.0
2021-11-16,6982.0
2021-11-17,38924.0
2021-11-18,10796.0
2021-11-19,8396.0
2021-11-20,7706.0
2021-11-21,8892.0
2021-11-22,9298.0
2021-11-23,11706.0
2021-11-24,5204.0
2021-11-25,18078.0
2021-11-26,24914.0
2021-11-27,9900.0
2021-11-28,28288.0
2021-11-29,14122.0
2021-11-30,12384.0
2021-12-01,12012.0
2021-12-02,35800.0
2021-12-03,2686.0
2021-12-04,8204.0
2021-12-05,2902.0
2021-12-06,28110.0
2021-12-07,2602.0
2021-12-08,9088.0
2021-12-09,-102.0
2021-12-10,5210.0
2021-12-11,14888.0
2021-12-12,10300.0
2021-12-13,8492.0
2021-12-14,6414.0
2021-12-15,3508.0
2021-12-16,4796.0
2021-12-17,35904.0
2021-12-18,5494.0
2021-12-19,12406.0
2021-12-20,7288.0
2021-12-21,9212.0
2021-12-22,15590.0
2021-12-23,11010.0
2021-12-24,11304.0
2021-12-25,5800.0
2021-12-26,3400.0
2021-12-27,7178.0
2021-12-28,3210.0
2021-12-29,28104.0
2021-12-30,23700.0
2021-12-31,20806.0
2022-01-01,15498.0
2022-01-02,13994.0
2022-01-03,14398.0
2022-01-04,24402.0
